               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,             0.04425,            0.039158,            0.017865,             0.70236,             0.84314,             0.84055,             0.34907,            0.043354,            0.032818,            0.016649,           0.0081982,           0.0081982,           0.0081982
                  93,            0.044659,            0.040911,            0.016792,             0.65601,             0.83266,             0.85628,             0.47337,            0.040143,             0.03264,            0.016612,           0.0081784,           0.0081784,           0.0081784
                  94,            0.044153,            0.040173,            0.018002,             0.75392,             0.85622,             0.86454,             0.39728,            0.041997,            0.031906,            0.016383,           0.0081586,           0.0081586,           0.0081586
                  95,            0.045448,             0.04224,            0.016133,             0.58978,             0.84171,             0.80497,             0.41014,            0.041207,            0.032818,            0.016315,           0.0081388,           0.0081388,           0.0081388
                  96,            0.045714,            0.040309,            0.016415,             0.69812,             0.86689,             0.85799,             0.41791,             0.04092,            0.030935,            0.016168,            0.008119,            0.008119,            0.008119
                  97,            0.039713,            0.041542,            0.016509,             0.64052,             0.89181,             0.86662,             0.45247,            0.040012,            0.032574,            0.016095,           0.0080992,           0.0080992,           0.0080992
                  98,            0.044688,            0.039361,             0.01644,             0.69962,             0.89735,             0.88373,             0.41415,            0.041661,            0.032067,            0.015976,           0.0080794,           0.0080794,           0.0080794
                  99,            0.045128,            0.038939,            0.016424,             0.67715,             0.86458,             0.88576,             0.51343,            0.036721,            0.031215,            0.015907,           0.0080596,           0.0080596,           0.0080596
                 100,               0.042,            0.042642,            0.016966,             0.78619,              0.8777,             0.90086,              0.4558,            0.038435,            0.031817,            0.015742,           0.0080398,           0.0080398,           0.0080398
                 101,            0.041451,            0.038995,            0.015596,             0.69372,             0.83806,             0.87069,              0.4495,            0.041538,            0.033092,            0.015724,             0.00802,             0.00802,             0.00802
                 102,            0.042675,            0.046672,            0.016172,             0.77719,              0.9024,             0.89821,             0.49554,             0.03563,            0.031477,             0.01561,           0.0080002,           0.0080002,           0.0080002
                 103,            0.039513,            0.042388,            0.015413,             0.69356,              0.8459,             0.86619,             0.43948,            0.041559,            0.032991,            0.015454,           0.0079804,           0.0079804,           0.0079804
                 104,            0.043174,            0.039917,            0.016194,             0.81846,             0.90844,              0.9121,             0.46845,            0.035954,            0.030434,            0.015276,           0.0079606,           0.0079606,           0.0079606
                 105,            0.040955,            0.043326,            0.015212,             0.68834,             0.89864,             0.86538,             0.47049,            0.040848,            0.032407,            0.015269,           0.0079408,           0.0079408,           0.0079408
                 106,             0.04235,            0.043748,            0.015077,             0.79607,             0.92588,             0.90442,             0.46667,            0.034878,            0.030392,            0.015191,            0.007921,            0.007921,            0.007921
                 107,            0.038384,            0.039976,            0.015072,             0.64874,             0.90403,             0.86982,             0.46761,             0.04077,            0.031298,            0.015015,           0.0079012,           0.0079012,           0.0079012
                 108,            0.040247,            0.045872,            0.014837,             0.81965,             0.89169,             0.92161,             0.53312,            0.032003,            0.030142,            0.014902,           0.0078814,           0.0078814,           0.0078814
                 109,            0.039051,             0.04145,            0.014728,               0.665,             0.89012,             0.83233,              0.4465,            0.039902,            0.030285,            0.014745,           0.0078616,           0.0078616,           0.0078616
                 110,            0.043129,            0.041581,             0.01563,             0.82494,             0.82838,             0.91145,             0.49095,            0.034564,             0.02948,            0.014525,           0.0078418,           0.0078418,           0.0078418
                 111,            0.039901,            0.040006,            0.015546,              0.8183,             0.84404,              0.8876,             0.50049,            0.038199,            0.030679,            0.014507,            0.007822,            0.007822,            0.007822
                 112,            0.039913,            0.041884,            0.014128,             0.78411,             0.88186,             0.92404,             0.47671,            0.034246,            0.029427,            0.014381,           0.0078022,           0.0078022,           0.0078022
                 113,            0.038297,            0.042919,            0.013914,             0.74768,             0.83363,             0.91809,             0.52421,            0.037114,            0.030679,            0.014397,           0.0077824,           0.0077824,           0.0077824
                 114,            0.040056,            0.038236,            0.014096,              0.8383,             0.87578,              0.9328,             0.51088,            0.034923,            0.029713,            0.014317,           0.0077626,           0.0077626,           0.0077626
                 115,            0.037632,            0.039531,            0.013924,             0.72832,             0.88224,             0.87947,              0.4937,            0.036825,            0.030828,            0.014248,           0.0077428,           0.0077428,           0.0077428
                 116,            0.040592,             0.04009,              0.0138,             0.82126,             0.86624,             0.93266,             0.53528,             0.03365,            0.029248,            0.014053,            0.007723,            0.007723,            0.007723
                 117,            0.037876,            0.041583,             0.01366,             0.80338,             0.88181,             0.90867,             0.50823,            0.036866,            0.030017,            0.013916,           0.0077032,           0.0077032,           0.0077032
                 118,            0.042396,            0.036215,            0.013886,             0.86715,             0.93115,              0.9465,             0.53695,            0.032728,            0.028712,            0.013744,           0.0076834,           0.0076834,           0.0076834
                 119,            0.037053,            0.040958,             0.01356,              0.7514,             0.89718,              0.9082,             0.50382,            0.037797,             0.03047,            0.013692,           0.0076636,           0.0076636,           0.0076636
                 120,            0.041578,            0.039094,            0.014317,              0.8675,             0.91291,             0.93815,             0.55917,            0.032569,            0.028706,            0.013451,           0.0076438,           0.0076438,           0.0076438
                 121,            0.036657,            0.040334,            0.012974,             0.75792,             0.90068,             0.89212,             0.51287,            0.034912,            0.029814,            0.013406,            0.007624,            0.007624,            0.007624
                 122,            0.039193,            0.036753,            0.014846,             0.88371,             0.91958,             0.92775,             0.47177,            0.034973,            0.028849,             0.01306,           0.0076042,           0.0076042,           0.0076042
                 123,            0.036228,            0.037585,            0.013938,             0.82561,             0.92775,             0.95101,             0.59388,            0.034689,            0.029105,            0.013028,           0.0075844,           0.0075844,           0.0075844
                 124,            0.037569,            0.034926,            0.013842,             0.87259,             0.91741,             0.94433,              0.4969,            0.035901,             0.02836,            0.012868,           0.0075646,           0.0075646,           0.0075646
                 125,            0.040391,            0.037356,            0.013816,             0.85337,             0.94682,             0.93892,             0.57091,            0.031861,             0.02827,            0.012689,           0.0075448,           0.0075448,           0.0075448
                 126,            0.036882,            0.034112,            0.012761,             0.84165,             0.94771,              0.9417,             0.49531,            0.034572,            0.028574,            0.012492,            0.007525,            0.007525,            0.007525
                 127,            0.037242,            0.040255,            0.012608,              0.8388,             0.95063,             0.95323,             0.59968,            0.032516,            0.028044,            0.012378,           0.0075052,           0.0075052,           0.0075052
                 128,            0.036795,            0.040401,            0.012985,             0.87973,             0.92423,             0.94489,             0.50627,            0.033895,            0.028461,            0.012149,           0.0074854,           0.0074854,           0.0074854
                 129,            0.037498,            0.040271,            0.012788,             0.88532,             0.93695,             0.94456,             0.56687,            0.032348,            0.028032,            0.012019,           0.0074656,           0.0074656,           0.0074656
                 130,            0.037035,            0.038258,            0.012292,               0.922,             0.91413,             0.96618,             0.52393,            0.032752,            0.028312,            0.011742,           0.0074458,           0.0074458,           0.0074458
                 131,            0.036381,            0.039141,            0.012069,             0.88477,             0.92876,             0.96149,             0.59223,            0.033343,            0.028473,             0.01165,            0.007426,            0.007426,            0.007426
                 132,            0.035719,            0.038938,            0.012482,             0.84089,             0.94981,             0.92071,              0.5056,             0.03279,            0.028199,            0.011385,           0.0074062,           0.0074062,           0.0074062
